Device 0: NVIDIA GeForce RTX 3060 Laptop GPU; Max thread in blocks: 1024 Total Global Memory: 6143.5 MB Shared Memory per Block: 49152 bytes Constant Memory: 65536 bytes Registers per Block: 65536 Warp Size: 32 Compute Capability: 8.6 Can Map Host Memory: Yes Clock Rate: 1425 MHz L2 Cache Size: 3145728 bytes Multiprocessor Count: 30; Max thread in blocks by axis: (1024, 1024, 64); Max blocks by axis: (2147483647, 65535, 65535);PARAMETR_SIZE: 22; PARAMETR_SIZE_ONE_X: 11; MAX_VALUE_SIZE: 5; NAME_FILE_GRAPH: Parametr_Graph/test100.txt; ANT_SIZE: 500; KOL_ITERATION: 10000; KOL_PROGON_STATISTICS: 200; PARAMETR_Q: 1; PARAMETR_RO: 0.999; TYPE_ACO: 2; ACOCCyN_KOL_ITERATION: 50; FUNCTION: SHAFFERA 
Time omp:;6557.2; 6494.13; 6493.14; 6484.03; 330.924;1911.84; 476.212; 0.00123005; 0.999994; 5749; 
Time omp:;6514.26; 6450.73; 6449.65; 6441.09; 335.06;1905.93; 476.531; 0.00123005; 0.999994; 6550; 
Time omp:;6449.91; 6387.78; 6386.81; 6377.83; 330.231;1896.66; 475.255; 0.00123005; 0.999616; 5576; 
Time omp:;6517.59; 6457.61; 6456.65; 6448.16; 329.782;1895.49; 475.974; 0.00123005; 0.999997; 3395; 
Time omp:;6556.33; 6494.84; 6493.73; 6485.21; 331.02;1899.17; 475.873; 0.00123005; 0.999999; 3428; 
Time omp:;6484.77; 6422.22; 6421.28; 6412.51; 334.453;1896.05; 477.5; 0.00123005; 0.999992; 7871; 
Time omp:;6557.05; 6498.01; 6497.07; 6488.6; 333.019;1918.63; 480.298; 0.00123005; 0.999996; 5762; 
Time omp:;6539.3; 6477.02; 6476.1; 6467.47; 332.714;1898.59; 475.735; 0.00123005; 0.999987; 3052; 
Time omp:;6540.88; 6480.23; 6479.21; 6470.59; 332.385;1904.08; 480.814; 0.00123005; 0.999986; 2350; 
Time omp:;6507.16; 6443.68; 6442.64; 6434.04; 334.979;1923.09; 474.564; 0.00123005; 0.999995; 6635; 
Time omp:;6542.11; 6475.33; 6474.25; 6465.79; 334.445;1916.81; 475.024; 0.00123005; 0.999994; 7441; 
Time omp:;6578.31; 6514.25; 6513.24; 6501.79; 333.625;1916.19; 479.476; 0.00123005; 0.999994; 4237; 
Time omp:;6543.49; 6482.13; 6481.11; 6472.51; 330.833;1912.11; 475.868; 0.00123005; 0.999999; 4224; 
Time omp:;6538.93; 6476.4; 6474.52; 6465.14; 334.182;1913.53; 477.194; 0.00123005; 0.999903; 4732; 
Time omp:;6562.12; 6500.76; 6499.81; 6491.48; 332.359;1913.22; 477.6; 0.00123005; 0.999989; 1920; 
Time omp:;6483.15; 6419.74; 6418.74; 6410.23; 331.605;1905.22; 475.494; 0.00123005; 0.999831; 5262; 
