non CUDA Time; 12; 300; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 3406.079198; 1481.748575; GPU Time 2 Mean:; 3402.708078; 1473.896994; GPU Time 3 Mean:; 248.390230; 22.572519; GPU Time 4 Mean:; 699.056306; 62.995429; GPU Time 5 Mean:; 268.195362; 13.657018; GPU Time 6 Mean:; 193.520962; 4.869866; GPU Time 7 Mean:; 227.209924; 8.177286; GPU Time 8 Mean:; 2447.589612; 743.574583; Global Min Mean:; 13.666718; 0.050707; Global Max Mean:; 4028.072119; 4506.277014; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA Time; 13; 325; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 3690.730920; 1791.627510; GPU Time 2 Mean:; 3687.083444; 1782.678667; GPU Time 3 Mean:; 269.101458; 24.019835; GPU Time 4 Mean:; 757.385892; 72.117198; GPU Time 5 Mean:; 290.514032; 14.755908; GPU Time 6 Mean:; 209.664226; 5.468351; GPU Time 7 Mean:; 246.226410; 9.548183; GPU Time 8 Mean:; 2652.279490; 918.168062; Global Min Mean:; 13.653625; 0.049756; Global Max Mean:; 4036.140119; 4529.231527; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA Time; 14; 350; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 3974.434300; 2004.085652; GPU Time 2 Mean:; 3970.500124; 1994.246300; GPU Time 3 Mean:; 289.803740; 25.825731; GPU Time 4 Mean:; 815.709144; 82.681997; GPU Time 5 Mean:; 312.911378; 16.035782; GPU Time 6 Mean:; 225.761748; 6.244580; GPU Time 7 Mean:; 265.211662; 10.743104; GPU Time 8 Mean:; 2856.041422; 1021.501311; Global Min Mean:; 13.650910; 0.049095; Global Max Mean:; 4042.181149; 4480.665356; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA Time; 15; 375; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 4258.108392; 2286.006435; GPU Time 2 Mean:; 4253.888606; 2274.310737; GPU Time 3 Mean:; 310.383158; 29.058142; GPU Time 4 Mean:; 873.973212; 91.948811; GPU Time 5 Mean:; 335.412650; 17.796072; GPU Time 6 Mean:; 241.846274; 6.899640; GPU Time 7 Mean:; 284.054020; 11.807284; GPU Time 8 Mean:; 3059.956752; 1172.514851; Global Min Mean:; 13.650910; 0.049095; Global Max Mean:; 4045.856344; 4297.886490; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA Time; 16; 400; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 4541.102108; 2464.579058; GPU Time 2 Mean:; 4536.599962; 2451.782254; GPU Time 3 Mean:; 331.135972; 30.702637; GPU Time 4 Mean:; 932.053232; 103.182704; GPU Time 5 Mean:; 357.681724; 19.523240; GPU Time 6 Mean:; 258.037950; 8.344556; GPU Time 7 Mean:; 302.825726; 12.388091; GPU Time 8 Mean:; 3263.190274; 1252.942537; Global Min Mean:; 13.643443; 0.045404; Global Max Mean:; 4054.278962; 4118.277370; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA Time; 17; 425; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 4825.649496; 2820.033008; GPU Time 2 Mean:; 4820.869394; 2806.713201; GPU Time 3 Mean:; 351.934806; 34.297751; GPU Time 4 Mean:; 990.390554; 116.454076; GPU Time 5 Mean:; 380.073448; 20.653278; GPU Time 6 Mean:; 274.130522; 9.180501; GPU Time 7 Mean:; 321.830240; 14.889603; GPU Time 8 Mean:; 3467.685802; 1437.692666; Global Min Mean:; 13.640864; 0.044622; Global Max Mean:; 4061.671425; 4692.149469; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA Time; 18; 450; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 5109.551502; 3145.745924; GPU Time 2 Mean:; 5104.498002; 3131.826193; GPU Time 3 Mean:; 372.512300; 36.775898; GPU Time 4 Mean:; 1048.707842; 130.570050; GPU Time 5 Mean:; 402.511088; 22.965196; GPU Time 6 Mean:; 290.251144; 10.519429; GPU Time 7 Mean:; 340.728750; 16.477796; GPU Time 8 Mean:; 3671.785050; 1606.500233; Global Min Mean:; 13.633641; 0.041663; Global Max Mean:; 4065.507342; 4343.220832; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA Time; 19; 475; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 5393.441294; 3376.467456; GPU Time 2 Mean:; 5388.113988; 3361.542271; GPU Time 3 Mean:; 393.198836; 40.082487; GPU Time 4 Mean:; 1107.111000; 142.894264; GPU Time 5 Mean:; 424.934422; 23.737120; GPU Time 6 Mean:; 306.465436; 12.388259; GPU Time 7 Mean:; 359.650044; 17.801418; GPU Time 8 Mean:; 3875.671890; 1703.623912; Global Min Mean:; 13.633641; 0.041663; Global Max Mean:; 4070.302401; 3843.177222; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA Time; 20; 500; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 5677.162612; 3646.300629; GPU Time 2 Mean:; 5671.556808; 3630.846256; GPU Time 3 Mean:; 413.889884; 42.910905; GPU Time 4 Mean:; 1165.304156; 153.102919; GPU Time 5 Mean:; 447.188778; 25.181583; GPU Time 6 Mean:; 322.695594; 13.757776; GPU Time 7 Mean:; 378.499056; 19.251594; GPU Time 8 Mean:; 4079.571588; 1844.446213; Global Min Mean:; 13.633639; 0.041662; Global Max Mean:; 4073.342497; 3740.643621; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA; 1; 25; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 0.000000; 0.000000; GPU Time 2 Mean:; 0.000000; 0.000000; GPU Time 3 Mean:; 0.000000; 0.000000; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 0.000000; 0.000000; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.000000; 0.000000; Hash Fail Count Mean:; 0.000000; 0.000000;
