Config;GraphSize;RegisterCount;FileName
compile_size_42_reg_64_20252611_ 927;42;64;compile_size_42_reg_64_20252611_ 927.txt
compile_size_42_reg_64_20252611_ 944;42;64;compile_size_42_reg_64_20252611_ 944.txt
compile_size_42_reg_96_20252611_ 822;42;96;compile_size_42_reg_96_20252611_ 822.txt
compile_size_42_reg_96_20252611_ 927;42;96;compile_size_42_reg_96_20252611_ 927.txt
compile_size_42_reg_96_20252611_ 944;42;96;compile_size_42_reg_96_20252611_ 944.txt
compile_size_5376_reg_128_20252611_1909;5376;128;compile_size_5376_reg_128_20252611_1909.txt
compile_size_5376_reg_192_20252611_1909;5376;192;compile_size_5376_reg_192_20252611_1909.txt
compile_size_5376_reg_256_20252611_1909;5376;256;compile_size_5376_reg_256_20252611_1909.txt
compile_size_5376_reg_32_20252611_ 944;5376;32;compile_size_5376_reg_32_20252611_ 944.txt
compile_size_5376_reg_32_20252611_1909;5376;32;compile_size_5376_reg_32_20252611_1909.txt
compile_size_5376_reg_64_20252611_ 944;5376;64;compile_size_5376_reg_64_20252611_ 944.txt
compile_size_5376_reg_64_20252611_1909;5376;64;compile_size_5376_reg_64_20252611_1909.txt
compile_size_5376_reg_96_20252611_ 944;5376;96;compile_size_5376_reg_96_20252611_ 944.txt
compile_size_5376_reg_96_20252611_1909;5376;96;compile_size_5376_reg_96_20252611_1909.txt
compile_size_672_reg_128_20252611_ 944;672;128;compile_size_672_reg_128_20252611_ 944.txt
compile_size_672_reg_192_20252611_ 944;672;192;compile_size_672_reg_192_20252611_ 944.txt
compile_size_672_reg_256_20252611_ 944;672;256;compile_size_672_reg_256_20252611_ 944.txt
compile_size_672_reg_32_20252611_ 944;672;32;compile_size_672_reg_32_20252611_ 944.txt
compile_size_672_reg_64_20252611_ 944;672;64;compile_size_672_reg_64_20252611_ 944.txt
compile_size_672_reg_96_20252611_ 944;672;96;compile_size_672_reg_96_20252611_ 944.txt
compile_size_84_reg_128_20252611_ 944;84;128;compile_size_84_reg_128_20252611_ 944.txt
compile_size_84_reg_192_20252611_ 944;84;192;compile_size_84_reg_192_20252611_ 944.txt
compile_size_84_reg_256_20252611_ 944;84;256;compile_size_84_reg_256_20252611_ 944.txt
compile_size_84_reg_32_20252611_ 944;84;32;compile_size_84_reg_32_20252611_ 944.txt
compile_size_84_reg_64_20252611_ 944;84;64;compile_size_84_reg_64_20252611_ 944.txt
compile_size_84_reg_96_20252611_ 944;84;96;compile_size_84_reg_96_20252611_ 944.txt
