Config;GraphSize;RegisterCount;Function;DemangledName;Registers;SMem_Bytes;CMem_Bank0;CMem_Bank2;CMem_Bank3;Stack_Frame;Spill_Stores;Spill_Loads;Architecture
Config;GraphSize;RegisterCount;Function;DemangledName;Registers;SMem_Bytes;CMem_Bank0;CMem_Bank2;CMem_Bank3;Stack_Frame;Spill_Stores;Spill_Loads;Architecture
compile_size_1344_reg_96_20252611_ 944;1344;96;_Z20parallelACOIterationPKdPKiPdS3_S3_S3_PiS3_P9HashEntryS3_S3_S4;parallelACOIteration;68;20480;448;56;0;4800;480;4800;sm_70
compile_size_1344_reg_96_20252611_ 944;1344;96;_Z26updateAndComputePheromonesPKdPKiPdS3_S3;updateAndComputePheromones;34;20480;392;8;0;0;0;0;sm_70
compile_size_1344_reg_96_20252611_ 944;1344;96;_Z16updatePheromonesPKdPKiPdS3;updatePheromones;26;0;384;8;0;0;0;0;sm_70
compile_size_1344_reg_96_20252611_ 944;1344;96;_Z21antColonyOptimizationPdPiS_P9HashEntryS_S_S0;antColonyOptimization;68;0;408;48;0;4800;480;4800;sm_70
compile_size_1344_reg_96_20252611_ 944;1344;96;;;34;20480;376;0;0;0;0;0;sm_70
compile_size_1344_reg_96_20252611_ 944;1344;96;;;14;0;360;0;0;0;0;0;sm_70
Config;GraphSize;RegisterCount;Function;DemangledName;Registers;SMem_Bytes;CMem_Bank0;CMem_Bank2;CMem_Bank3;Stack_Frame;Spill_Stores;Spill_Loads;Architecture
compile_size_168_reg_128_20252611_ 944;168;128;_Z20parallelACOIterationPKdPKiPdS3_S3_S3_PiS3_P9HashEntryS3_S3_S4;parallelACOIteration;68;20480;448;56;0;4800;480;4800;sm_70
compile_size_168_reg_128_20252611_ 944;168;128;_Z26updateAndComputePheromonesPKdPKiPdS3_S3;updateAndComputePheromones;34;20480;392;8;0;0;0;0;sm_70
compile_size_168_reg_128_20252611_ 944;168;128;_Z16updatePheromonesPKdPKiPdS3;updatePheromones;26;0;384;8;0;0;0;0;sm_70
compile_size_168_reg_128_20252611_ 944;168;128;_Z21antColonyOptimizationPdPiS_P9HashEntryS_S_S0;antColonyOptimization;68;0;408;48;0;4800;480;4800;sm_70
compile_size_168_reg_128_20252611_ 944;168;128;;;34;20480;376;0;0;0;0;0;sm_70
compile_size_168_reg_128_20252611_ 944;168;128;;;14;0;360;0;0;0;0;0;sm_70
Config;GraphSize;RegisterCount;Function;DemangledName;Registers;SMem_Bytes;CMem_Bank0;CMem_Bank2;CMem_Bank3;Stack_Frame;Spill_Stores;Spill_Loads;Architecture
compile_size_168_reg_192_20252611_ 944;168;192;_Z20parallelACOIterationPKdPKiPdS3_S3_S3_PiS3_P9HashEntryS3_S3_S4;parallelACOIteration;68;20480;448;56;0;4800;480;4800;sm_70
compile_size_168_reg_192_20252611_ 944;168;192;_Z26updateAndComputePheromonesPKdPKiPdS3_S3;updateAndComputePheromones;34;20480;392;8;0;0;0;0;sm_70
compile_size_168_reg_192_20252611_ 944;168;192;_Z16updatePheromonesPKdPKiPdS3;updatePheromones;26;0;384;8;0;0;0;0;sm_70
compile_size_168_reg_192_20252611_ 944;168;192;_Z21antColonyOptimizationPdPiS_P9HashEntryS_S_S0;antColonyOptimization;68;0;408;48;0;4800;480;4800;sm_70
compile_size_168_reg_192_20252611_ 944;168;192;;;34;20480;376;0;0;0;0;0;sm_70
compile_size_168_reg_192_20252611_ 944;168;192;;;14;0;360;0;0;0;0;0;sm_70
Config;GraphSize;RegisterCount;Function;DemangledName;Registers;SMem_Bytes;CMem_Bank0;CMem_Bank2;CMem_Bank3;Stack_Frame;Spill_Stores;Spill_Loads;Architecture
compile_size_168_reg_256_20252611_ 944;168;256;_Z20parallelACOIterationPKdPKiPdS3_S3_S3_PiS3_P9HashEntryS3_S3_S4;parallelACOIteration;68;20480;448;56;0;4800;480;4800;sm_70
compile_size_168_reg_256_20252611_ 944;168;256;_Z26updateAndComputePheromonesPKdPKiPdS3_S3;updateAndComputePheromones;34;20480;392;8;0;0;0;0;sm_70
compile_size_168_reg_256_20252611_ 944;168;256;_Z16updatePheromonesPKdPKiPdS3;updatePheromones;26;0;384;8;0;0;0;0;sm_70
compile_size_168_reg_256_20252611_ 944;168;256;_Z21antColonyOptimizationPdPiS_P9HashEntryS_S_S0;antColonyOptimization;68;0;408;48;0;4800;480;4800;sm_70
compile_size_168_reg_256_20252611_ 944;168;256;;;34;20480;376;0;0;0;0;0;sm_70
compile_size_168_reg_256_20252611_ 944;168;256;;;14;0;360;0;0;0;0;0;sm_70
