Time non CUDA AVX time 4; 12; 300; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 3648.256240; 111.277680; GPU Time 2 Mean:; 3591.094722; 112.460784; GPU Time 3 Mean:; 306.292708; 15.389975; GPU Time 4 Mean:; 375.785894; 14.633628; GPU Time 5 Mean:; 138.656440; 0.288590; GPU Time 6 Mean:; 83.965682; 1.775517; GPU Time 7 Mean:; 139.032178; 13.248598; GPU Time 8 Mean:; 2899.594352; 109.331589; Global Min Mean:; 0.175702; 0.000072; Global Max Mean:; 0.827456; 0.000188; Hash Fail Count Mean:; 0.040000; 0.038400;
Time non CUDA AVX time 4; 13; 325; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 3948.058196; 135.638772; GPU Time 2 Mean:; 3886.129050; 136.893901; GPU Time 3 Mean:; 331.773746; 18.336882; GPU Time 4 Mean:; 407.043154; 18.388269; GPU Time 5 Mean:; 150.194812; 0.329997; GPU Time 6 Mean:; 90.925048; 1.966481; GPU Time 7 Mean:; 150.616080; 16.673225; GPU Time 8 Mean:; 3137.105580; 131.541990; Global Min Mean:; 0.175057; 0.000087; Global Max Mean:; 0.829430; 0.000200; Hash Fail Count Mean:; 0.080000; 0.073600;
Time non CUDA AVX time 4; 14; 350; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 4247.342956; 174.741926; GPU Time 2 Mean:; 4180.648746; 176.352876; GPU Time 3 Mean:; 357.262178; 21.014913; GPU Time 4 Mean:; 438.367070; 20.279118; GPU Time 5 Mean:; 161.747320; 0.442650; GPU Time 6 Mean:; 97.920612; 2.226974; GPU Time 7 Mean:; 162.215806; 18.668088; GPU Time 8 Mean:; 3374.028078; 159.971739; Global Min Mean:; 0.173769; 0.000105; Global Max Mean:; 0.829592; 0.000202; Hash Fail Count Mean:; 0.100000; 0.090000;
Time non CUDA AVX time 4; 15; 375; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 4546.591152; 198.266335; GPU Time 2 Mean:; 4475.135342; 199.994712; GPU Time 3 Mean:; 382.777530; 24.237324; GPU Time 4 Mean:; 469.630702; 24.664000; GPU Time 5 Mean:; 173.299878; 0.480694; GPU Time 6 Mean:; 104.890848; 2.474088; GPU Time 7 Mean:; 173.781606; 22.842819; GPU Time 8 Mean:; 3610.949520; 184.894949; Global Min Mean:; 0.173175; 0.000117; Global Max Mean:; 0.831332; 0.000162; Hash Fail Count Mean:; 0.120000; 0.105600;
Time non CUDA AVX time 4; 16; 400; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 4845.998542; 232.677095; GPU Time 2 Mean:; 4769.793614; 234.563059; GPU Time 3 Mean:; 408.301916; 27.191876; GPU Time 4 Mean:; 500.945210; 28.633972; GPU Time 5 Mean:; 184.863852; 0.589931; GPU Time 6 Mean:; 111.889740; 2.600509; GPU Time 7 Mean:; 185.352352; 26.981098; GPU Time 8 Mean:; 3847.983520; 227.463859; Global Min Mean:; 0.172148; 0.000128; Global Max Mean:; 0.834551; 0.000168; Hash Fail Count Mean:; 0.140000; 0.120400;
Time non CUDA AVX time 4; 17; 425; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 5144.741308; 271.564521; GPU Time 2 Mean:; 5063.769140; 273.926618; GPU Time 3 Mean:; 433.800976; 30.706578; GPU Time 4 Mean:; 532.241152; 31.012738; GPU Time 5 Mean:; 196.401850; 0.651219; GPU Time 6 Mean:; 118.848190; 2.716756; GPU Time 7 Mean:; 196.975202; 29.997677; GPU Time 8 Mean:; 4084.381718; 260.898795; Global Min Mean:; 0.172147; 0.000128; Global Max Mean:; 0.835871; 0.000131; Hash Fail Count Mean:; 0.160000; 0.134400;
Time non CUDA AVX time 4; 18; 450; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 5443.574640; 316.116432; GPU Time 2 Mean:; 5357.834470; 318.321009; GPU Time 3 Mean:; 459.288176; 34.157886; GPU Time 4 Mean:; 563.567662; 33.735830; GPU Time 5 Mean:; 207.977374; 0.820268; GPU Time 6 Mean:; 125.816836; 2.862044; GPU Time 7 Mean:; 208.580976; 32.721212; GPU Time 8 Mean:; 4320.848280; 294.969300; Global Min Mean:; 0.172142; 0.000128; Global Max Mean:; 0.836126; 0.000128; Hash Fail Count Mean:; 0.240000; 0.262400;
Time non CUDA AVX time 4; 19; 475; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 5741.982750; 345.061965; GPU Time 2 Mean:; 5651.487788; 347.147696; GPU Time 3 Mean:; 484.785668; 38.071762; GPU Time 4 Mean:; 594.928516; 36.289843; GPU Time 5 Mean:; 219.534138; 0.912327; GPU Time 6 Mean:; 132.799642; 3.020924; GPU Time 7 Mean:; 220.223608; 34.824591; GPU Time 8 Mean:; 4556.861796; 312.012471; Global Min Mean:; 0.170763; 0.000190; Global Max Mean:; 0.836401; 0.000118; Hash Fail Count Mean:; 0.280000; 0.281600;
Time non CUDA AVX time 4; 20; 500; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 6040.432594; 391.970839; GPU Time 2 Mean:; 5945.177380; 393.997901; GPU Time 3 Mean:; 510.319526; 43.158502; GPU Time 4 Mean:; 626.173202; 40.653412; GPU Time 5 Mean:; 231.081488; 1.068700; GPU Time 6 Mean:; 139.781996; 3.277269; GPU Time 7 Mean:; 231.761184; 38.615572; GPU Time 8 Mean:; 4792.985696; 338.133815; Global Min Mean:; 0.170612; 0.000188; Global Max Mean:; 0.836787; 0.000114; Hash Fail Count Mean:; 0.360000; 0.350400;
Time non CUDA AVX add CPU time 4; 1; 25; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 206.501828; 1.474286; GPU Time 2 Mean:; 201.751366; 1.531506; GPU Time 3 Mean:; 29.008640; 0.234294; GPU Time 4 Mean:; 4.799916; 0.003456; GPU Time 5 Mean:; 164.333467; 0.797486; GPU Time 6 Mean:; 0.065946; 0.000197; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.203540; 0.000101; Global Max Mean:; 0.799960; 0.000238; Hash Fail Count Mean:; 0.000000; 0.000000;
