Max threads OMP : 12 OpenMP version: 202011 :OpenMP 5.1 (2021) active
PARAMETR_SIZE: 1344; MAX_VALUE_SIZE: 4; PARAMETR_SIZE_ONE_X: 21; ANT_SIZE: 500; MAX_THREAD_CUDA: 256; NAME_FILE_GRAPH: Parametr_Graph/test1344_4.txt; KOL_ITERATION: 500; KOL_PROGREV: 0; KOL_PROGON_STATISTICS: 10; PARAMETR_RO: 0.999; PARAMETR_Q: 1; PRINT_INFORMATION: 0; MAX_PARAMETR_VALUE_TO_MIN_OPT: 1000; OPTIMIZE: OPTIMIZE_MIN_1 ; FUNCTION: SHAFFERA BALANCED: BALANCED_TIME_GPU_FUNCTION BALANCED_TIME_OMP_FUNCTION BALANCED_ADD_TIME_OMP_ADD_AND_DECREASE INITIAL_CPU_ANTS_RATIO: 0.5; MIN_BALANSED_ANT: 10; HASH_TABLE_SIZE: 67108864; ZERO_HASH_RESULT: -1; ZERO_HASH: 100000000000; MAX_PROBES: 10000
Time Hybrid OMP parallel dynamic;2085.16; 2019.94; 2019.21; 1390.5; 1297.19; 2019.27; 30.8869; 1563.33; 237.924; 2019.22; 1049.16; 0.286525; 0.706457; 0; 
Time Hybrid OMP parallel dynamic;2117.85; 2055.07; 2054.6; 1421.7; 1312.8; 2054.55; 38.1974; 1577.45; 253.043; 2054.52; 1049.64; 0.286057; 0.706374; 0; 
Time Hybrid OMP parallel dynamic;2085.57; 2023.98; 2023.5; 1422.56; 1306.34; 2023.44; 31.1774; 1564.83; 238.541; 2023.4; 1057.32; 0.299863; 0.705629; 0; 
Time Hybrid OMP parallel dynamic;2081.51; 2017.59; 2017.03; 1413.5; 1305.61; 2016.96; 30.8897; 1557.21; 245.431; 2016.93; 1049.48; 0.288638; 0.706517; 0; 
Time Hybrid OMP parallel dynamic;2085.54; 2025.8; 2025.22; 1389.68; 1294.21; 2025.24; 35.7558; 1554.39; 246.2; 2025.31; 1037.6; 0.283601; 0.706532; 0; 
Time Hybrid OMP parallel dynamic;2085.35; 2019.57; 2019.01; 1405.51; 1300.78; 2018.92; 30.9315; 1562.47; 245.244; 2018.9; 1045.88; 0.284707; 0.706448; 0; 
Time Hybrid OMP parallel dynamic;2065.11; 2002.45; 2001.94; 1396.1; 1298.47; 2001.97; 31.6799; 1546.21; 242.433; 2001.9; 1046.01; 0.299518; 0.706501; 0; 
Time Hybrid OMP parallel dynamic;2111.5; 2047.39; 2046.83; 1425.29; 1311.23; 2046.73; 31.7209; 1587.83; 245.007; 2046.69; 1057.38; 0.28367; 0.706373; 0; 
Time Hybrid OMP parallel dynamic:;21374.344400;sec
Time Hybrid OMP parallel dynamic non hash;1722.49; 1719.71; 1719.11; 807.581; 619.496; 1719.21; 37.2153; 1229.31; 235.585; 1719.01; 383.561; 0.283142; 0.706525; 0; 
Time Hybrid OMP parallel dynamic non hash;1713.92; 1711.38; 1710.95; 798.633; 615.178; 1710.96; 32.6558; 1220.83; 235.692; 1710.9; 379.241; 0.303294; 0.70599; 0; 
Time Hybrid OMP parallel dynamic non hash;1662.29; 1659.84; 1659.39; 782.525; 611.477; 1659.44; 32.6815; 1194.36; 223.033; 1659.39; 387.827; 0.283121; 0.705952; 0; 
Time Hybrid OMP parallel dynamic non hash;1670.39; 1667.94; 1667.53; 793.009; 615.37; 1667.57; 30.0694; 1208.94; 221.618; 1667.53; 393.479; 0.303293; 0.706528; 0; 
Time Hybrid OMP parallel dynamic non hash;1776.28; 1773.84; 1773.37; 883.911; 623.53; 1773.47; 32.784; 1304.29; 226.279; 1773.41; 396.801; 0.28924; 0.706507; 0; 
Time Hybrid OMP parallel dynamic non hash;1717.41; 1714.92; 1714.4; 814.099; 617.689; 1714.42; 35.0083; 1234.02; 233.202; 1714.31; 384.137; 0.284383; 0.719216; 0; 
Time Hybrid OMP parallel dynamic non hash;1654.79; 1652.36; 1651.81; 790.751; 610.033; 1651.86; 31.7103; 1194.55; 221.988; 1651.78; 388.043; 0.303296; 0.706469; 0; 
Time Hybrid OMP parallel dynamic non hash;1683.88; 1681.14; 1680.62; 802.575; 613.828; 1680.65; 33.2642; 1219; 224.497; 1680.54; 389.845; 0.297744; 0.706352; 0; 
Time Hybrid OMP parallel dynamic non hash;1800.34; 1797.91; 1797.5; 887.624; 623.712; 1797.54; 34.3293; 1318.66; 233.835; 1797.5; 389.435; 0.283328; 0.706532; 0; 
Time Hybrid OMP parallel dynamic non hash;1727.23; 1724.76; 1724.33; 820.661; 621.775; 1724.34; 36.6309; 1244.09; 234.13; 1724.25; 387.005; 0.303291; 0.706426; 0; 
Time Hybrid OMP parallel dynamic non hash:;17158.102500;sec
Time Hybrid OMP parallel thread non blocked dynamic;764.446; 704.72; 704.037; 444.999; 380.383; 703.686; 221.141; 99.5975; 397.788; 703.974; 186.293; 0.303449; 0.70652; 0; 
Time Hybrid OMP parallel thread non blocked dynamic;774.505; 715.298; 714.807; 451.84; 384.468; 711.088; 224.531; 102.74; 401.594; 710.983; 187.769; 0.303687; 0.687386; 0; 
Time Hybrid OMP parallel thread non blocked dynamic;772.706; 713.439; 712.814; 449.04; 381.069; 712.906; 222.258; 102.786; 405.173; 712.854; 187.437; 0.303106; 0.705525; 0; 
Time Hybrid OMP parallel thread non blocked dynamic;782.586; 715.405; 714.731; 448.397; 380.786; 714.778; 229.502; 102.422; 400.28; 714.833; 193.048; 0.303375; 0.706404; 0; 
Time Hybrid OMP parallel thread non blocked dynamic;799.032; 735.582; 735.067; 454.413; 380.983; 733.071; 234.769; 105.957; 408.073; 732.959; 198.37; 0.303647; 0.687429; 0; 
Time Hybrid OMP parallel thread non blocked dynamic;785.773; 722.235; 721.528; 447.271; 374.244; 721.583; 233.133; 102.425; 402.779; 721.645; 194.883; 0.303294; 0.704355; 0; 
Time Hybrid OMP parallel thread non blocked dynamic;778.502; 713.501; 713.064; 448.92; 377.625; 712.923; 222.647; 101.902; 404.727; 712.815; 186.968; 0.303404; 0.706276; 0; 
Time Hybrid OMP parallel thread non blocked dynamic;764.767; 697.306; 696.884; 434.429; 367.025; 696.74; 234.489; 95.2689; 380.453; 696.646; 193.453; 0.303449; 0.706159; 0; 
Time Hybrid OMP parallel thread non blocked dynamic;767.262; 707.577; 707.08; 443.174; 377.402; 706.195; 223.901; 101.306; 398.997; 706.09; 188.089; 0.303378; 0.706516; 0; 
Time Hybrid OMP parallel thread non blocked dynamic;777.265; 716.048; 715.513; 451.65; 384.376; 711.882; 224.604; 100.825; 402.754; 711.933; 188.67; 0.303314; 0.727443; 0; 
Time Hybrid OMP parallel thread non blocked dynamic:;8209.390800;sec
Time Hybrid OMP parallel thread non blocked dynamic non hash;679.334; 676.749; 676.299; 297.364; 205.428; 674.346; 177.336; 149.042; 411.461; 674.392; 135.047; 0.284567; 0.699174; 0; 
Time Hybrid OMP parallel thread non blocked dynamic non hash;664.483; 661.952; 661.546; 294.431; 208.79; 660.045; 171.657; 145.618; 400.262; 659.944; 132.678; 0.305295; 0.706528; 0; 
Time Hybrid OMP parallel thread non blocked dynamic non hash;672.554; 669.93; 669.486; 296.194; 207.981; 668.64; 176.039; 142.812; 405.985; 668.542; 133.237; 0.303868; 0.706469; 0; 
Time Hybrid OMP parallel thread non blocked dynamic non hash;669.165; 666.601; 666.17; 302.292; 214.274; 665.217; 173.593; 143.538; 405.758; 665.141; 132.53; 0.298142; 0.706531; 0; 
Time Hybrid OMP parallel thread non blocked dynamic non hash;670.496; 667.928; 667.378; 302.808; 214.359; 667.42; 174.349; 144.261; 409.739; 667.335; 132.612; 0.286305; 0.706262; 0; 
Time Hybrid OMP parallel thread non blocked dynamic non hash;668.62; 665.941; 665.37; 304.42; 217.589; 665.424; 175.88; 140.765; 401.095; 665.322; 135.61; 0.303809; 0.705764; 0; 
Time Hybrid OMP parallel thread non blocked dynamic non hash;668.381; 665.755; 665.31; 308.515; 219.882; 664.842; 176.344; 141.647; 404.427; 664.744; 134.784; 0.303291; 0.706524; 0; 
Time Hybrid OMP parallel thread non blocked dynamic non hash;663.294; 660.573; 660.045; 306.546; 223.227; 660.1; 171.286; 142.671; 405.158; 659.989; 131.821; 0.303316; 0.698197; 0; 
Time Hybrid OMP parallel thread non blocked dynamic non hash;676.012; 673.38; 672.749; 310.281; 220.92; 672.794; 176.441; 144.167; 410.893; 672.71; 134.549; 0.30376; 0.687431; 0; 
Time Hybrid OMP parallel thread non blocked dynamic non hash;668.048; 665.495; 665.055; 311.788; 226.349; 662.969; 174.657; 141.468; 403.778; 662.884; 134.836; 0.303773; 0.70637; 0; 
Time Hybrid OMP parallel thread non blocked dynamic:;6734.035700;sec
