Time non CUDA AVX time 4; 12; 300; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1848.676352; 11.032277; GPU Time 2 Mean:; 1820.141324; 10.965128; GPU Time 3 Mean:; 144.869530; 0.502555; GPU Time 4 Mean:; 221.985942; 3.384719; GPU Time 5 Mean:; 79.690636; 0.050970; GPU Time 6 Mean:; 45.578434; 0.066321; GPU Time 7 Mean:; 82.637264; 2.540449; GPU Time 8 Mean:; 1444.154438; 7.524108; Global Min Mean:; 0.067651; 0.000195; Global Max Mean:; 0.931847; 0.000064; Hash Fail Count Mean:; 0.060000; 0.056400;
Time non CUDA AVX time 4; 13; 325; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 2000.809212; 13.268789; GPU Time 2 Mean:; 1969.897416; 13.191939; GPU Time 3 Mean:; 156.945522; 0.559977; GPU Time 4 Mean:; 240.465526; 4.090950; GPU Time 5 Mean:; 86.334618; 0.060004; GPU Time 6 Mean:; 49.372842; 0.067803; GPU Time 7 Mean:; 89.505908; 3.021890; GPU Time 8 Mean:; 1562.593726; 8.425665; Global Min Mean:; 0.066658; 0.000188; Global Max Mean:; 0.932975; 0.000083; Hash Fail Count Mean:; 0.060000; 0.056400;
Time non CUDA AVX time 4; 14; 350; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 2152.654964; 15.593564; GPU Time 2 Mean:; 2119.367550; 15.512566; GPU Time 3 Mean:; 169.012414; 0.592370; GPU Time 4 Mean:; 258.930074; 4.956462; GPU Time 5 Mean:; 92.967926; 0.063215; GPU Time 6 Mean:; 53.166604; 0.071434; GPU Time 7 Mean:; 96.373308; 3.740747; GPU Time 8 Mean:; 1680.773494; 9.843817; Global Min Mean:; 0.065783; 0.000183; Global Max Mean:; 0.933584; 0.000071; Hash Fail Count Mean:; 0.060000; 0.056400;
Time non CUDA AVX time 4; 15; 375; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 2304.428614; 17.893310; GPU Time 2 Mean:; 2268.765252; 17.821370; GPU Time 3 Mean:; 181.076518; 0.652823; GPU Time 4 Mean:; 277.421236; 5.541943; GPU Time 5 Mean:; 99.602100; 0.067460; GPU Time 6 Mean:; 56.963082; 0.071702; GPU Time 7 Mean:; 103.262118; 4.261324; GPU Time 8 Mean:; 1798.858236; 11.794813; Global Min Mean:; 0.064936; 0.000166; Global Max Mean:; 0.934305; 0.000079; Hash Fail Count Mean:; 0.060000; 0.056400;
Time non CUDA AVX time 4; 16; 400; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 2455.976718; 21.077653; GPU Time 2 Mean:; 2417.936580; 20.972525; GPU Time 3 Mean:; 193.163844; 0.718246; GPU Time 4 Mean:; 295.908552; 6.021329; GPU Time 5 Mean:; 106.237886; 0.066864; GPU Time 6 Mean:; 60.752130; 0.071779; GPU Time 7 Mean:; 110.153388; 4.674609; GPU Time 8 Mean:; 1916.693822; 13.179948; Global Min Mean:; 0.062805; 0.000150; Global Max Mean:; 0.935027; 0.000084; Hash Fail Count Mean:; 0.100000; 0.090000;
Time non CUDA AVX time 4; 17; 425; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 2607.444576; 23.155895; GPU Time 2 Mean:; 2567.028426; 23.057369; GPU Time 3 Mean:; 205.271122; 0.767140; GPU Time 4 Mean:; 314.430848; 6.542836; GPU Time 5 Mean:; 112.878818; 0.069766; GPU Time 6 Mean:; 64.560336; 0.076112; GPU Time 7 Mean:; 117.053864; 5.156428; GPU Time 8 Mean:; 2034.394970; 14.140978; Global Min Mean:; 0.062201; 0.000150; Global Max Mean:; 0.935572; 0.000092; Hash Fail Count Mean:; 0.100000; 0.090000;
Time non CUDA AVX time 4; 18; 450; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 2758.632370; 24.185351; GPU Time 2 Mean:; 2715.838972; 24.085443; GPU Time 3 Mean:; 217.358284; 0.856175; GPU Time 4 Mean:; 332.876656; 7.365452; GPU Time 5 Mean:; 119.515130; 0.073307; GPU Time 6 Mean:; 68.348980; 0.079854; GPU Time 7 Mean:; 123.903460; 5.820015; GPU Time 8 Mean:; 2151.912512; 14.860906; Global Min Mean:; 0.061267; 0.000141; Global Max Mean:; 0.935630; 0.000091; Hash Fail Count Mean:; 0.100000; 0.090000;
Time non CUDA AVX time 4; 19; 475; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 2909.749710; 27.601796; GPU Time 2 Mean:; 2864.580256; 27.505577; GPU Time 3 Mean:; 229.445644; 0.929575; GPU Time 4 Mean:; 351.253290; 8.049969; GPU Time 5 Mean:; 126.147428; 0.081216; GPU Time 6 Mean:; 72.138724; 0.075618; GPU Time 7 Mean:; 130.687566; 6.448601; GPU Time 8 Mean:; 2269.430640; 17.378904; Global Min Mean:; 0.061267; 0.000141; Global Max Mean:; 0.935873; 0.000087; Hash Fail Count Mean:; 0.140000; 0.120400;
Time non CUDA AVX time 4; 20; 500; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 3060.987530; 29.431734; GPU Time 2 Mean:; 3013.443722; 29.330676; GPU Time 3 Mean:; 241.510048; 1.014783; GPU Time 4 Mean:; 369.776588; 8.270040; GPU Time 5 Mean:; 132.784904; 0.087658; GPU Time 6 Mean:; 75.966316; 0.085916; GPU Time 7 Mean:; 137.573536; 6.694676; GPU Time 8 Mean:; 2386.947210; 18.046746; Global Min Mean:; 0.059554; 0.000108; Global Max Mean:; 0.935927; 0.000086; Hash Fail Count Mean:; 0.200000; 0.160000;
Time non CUDA AVX add CPU time 4; 1; 25; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 102.505158; 2.062088; GPU Time 2 Mean:; 100.099785; 2.020982; GPU Time 3 Mean:; 14.167446; 0.129006; GPU Time 4 Mean:; 2.409176; 0.001148; GPU Time 5 Mean:; 79.935332; 1.192557; GPU Time 6 Mean:; 0.061840; 0.002296; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.098337; 0.000185; Global Max Mean:; 0.904284; 0.000104; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX add CPU time 4; 2; 50; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 203.820238; 2.683666; GPU Time 2 Mean:; 199.052785; 2.650751; GPU Time 3 Mean:; 28.366940; 0.404480; GPU Time 4 Mean:; 4.788364; 0.002291; GPU Time 5 Mean:; 158.783907; 1.101403; GPU Time 6 Mean:; 0.109888; 0.005340; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.086119; 0.000164; Global Max Mean:; 0.910266; 0.000147; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX add CPU time 4; 3; 75; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 305.087268; 4.543752; GPU Time 2 Mean:; 297.949523; 4.496432; GPU Time 3 Mean:; 42.522267; 0.539123; GPU Time 4 Mean:; 7.164051; 0.002386; GPU Time 5 Mean:; 237.660902; 2.576230; GPU Time 6 Mean:; 0.150238; 0.006117; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.081932; 0.000103; Global Max Mean:; 0.912390; 0.000162; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX add CPU time 4; 4; 100; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 406.230128; 5.599915; GPU Time 2 Mean:; 396.730193; 5.621582; GPU Time 3 Mean:; 56.681079; 0.951864; GPU Time 4 Mean:; 9.538727; 0.002700; GPU Time 5 Mean:; 316.420965; 3.102090; GPU Time 6 Mean:; 0.187706; 0.007129; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.079282; 0.000122; Global Max Mean:; 0.918587; 0.000155; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX add CPU time 4; 5; 125; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 507.512747; 10.783744; GPU Time 2 Mean:; 495.663283; 10.971489; GPU Time 3 Mean:; 70.886562; 1.830194; GPU Time 4 Mean:; 11.916116; 0.003706; GPU Time 5 Mean:; 395.263185; 5.205444; GPU Time 6 Mean:; 0.227492; 0.007981; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.076718; 0.000143; Global Max Mean:; 0.922858; 0.000128; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX add CPU time 4; 6; 150; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 608.667357; 10.931709; GPU Time 2 Mean:; 594.471656; 11.251650; GPU Time 3 Mean:; 85.041071; 2.640936; GPU Time 4 Mean:; 14.291026; 0.003846; GPU Time 5 Mean:; 474.054866; 5.086284; GPU Time 6 Mean:; 0.266482; 0.008444; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.075089; 0.000153; Global Max Mean:; 0.924884; 0.000130; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX add CPU time 4; 7; 175; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 709.937194; 14.011765; GPU Time 2 Mean:; 693.384279; 14.473924; GPU Time 3 Mean:; 99.174869; 3.487362; GPU Time 4 Mean:; 16.667791; 0.005021; GPU Time 5 Mean:; 552.941825; 6.258857; GPU Time 6 Mean:; 0.306828; 0.009527; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.074347; 0.000156; Global Max Mean:; 0.925969; 0.000109; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX add CPU time 4; 8; 200; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 811.148938; 15.056221; GPU Time 2 Mean:; 792.231648; 15.593133; GPU Time 3 Mean:; 113.254354; 4.065658; GPU Time 4 Mean:; 19.041004; 0.005208; GPU Time 5 Mean:; 631.820051; 6.915767; GPU Time 6 Mean:; 0.345022; 0.010002; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.073646; 0.000150; Global Max Mean:; 0.927965; 0.000098; Hash Fail Count Mean:; 0.000000; 0.000000;
