CUDA Time; 12; 300; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 357.843746; 8.087813; GPU Time 2 Mean:; 345.529068; 7.992884; GPU Time 3 Mean:; 212.830056; 3.763378; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 0.000000; 0.000000; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 1.000000; 0.000000; Global Max Mean:; 1.000000; 0.000000; Hash Fail Count Mean:; 0.000000; 0.000000;
CUDA Time; 13; 325; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 387.650628; 10.019370; GPU Time 2 Mean:; 374.309686; 9.913740; GPU Time 3 Mean:; 230.568450; 4.693453; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 0.000000; 0.000000; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 1.000000; 0.000000; Global Max Mean:; 1.000000; 0.000000; Hash Fail Count Mean:; 0.000000; 0.000000;
CUDA Time; 14; 350; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 417.413788; 11.251432; GPU Time 2 Mean:; 403.046682; 11.138361; GPU Time 3 Mean:; 248.279062; 5.253300; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 0.000000; 0.000000; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 1.000000; 0.000000; Global Max Mean:; 1.000000; 0.000000; Hash Fail Count Mean:; 0.000000; 0.000000;
CUDA Time; 15; 375; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 447.190159; 13.259599; GPU Time 2 Mean:; 431.796935; 13.133320; GPU Time 3 Mean:; 265.965401; 5.765887; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 0.000000; 0.000000; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 1.000000; 0.000000; Global Max Mean:; 1.000000; 0.000000; Hash Fail Count Mean:; 0.000000; 0.000000;
CUDA Time; 16; 400; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 476.977178; 15.095507; GPU Time 2 Mean:; 460.557311; 14.954731; GPU Time 3 Mean:; 283.695003; 6.636463; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 0.000000; 0.000000; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 1.000000; 0.000000; Global Max Mean:; 1.000000; 0.000000; Hash Fail Count Mean:; 0.000000; 0.000000;
CUDA Time; 17; 425; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 506.812256; 17.359545; GPU Time 2 Mean:; 489.365654; 17.208067; GPU Time 3 Mean:; 301.453704; 7.680959; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 0.000000; 0.000000; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 1.000000; 0.000000; Global Max Mean:; 1.000000; 0.000000; Hash Fail Count Mean:; 0.000000; 0.000000;
CUDA Time; 18; 450; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 536.698009; 18.956738; GPU Time 2 Mean:; 518.224585; 18.791724; GPU Time 3 Mean:; 319.229464; 8.429080; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 0.000000; 0.000000; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 1.000000; 0.000000; Global Max Mean:; 1.000000; 0.000000; Hash Fail Count Mean:; 0.000000; 0.000000;
CUDA Time; 19; 475; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 566.705255; 21.435166; GPU Time 2 Mean:; 547.204299; 21.256155; GPU Time 3 Mean:; 337.095545; 9.313835; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 0.000000; 0.000000; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 1.000000; 0.000000; Global Max Mean:; 1.000000; 0.000000; Hash Fail Count Mean:; 0.000000; 0.000000;
CUDA Time; 20; 500; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 596.586987; 24.269063; GPU Time 2 Mean:; 576.059954; 24.074740; GPU Time 3 Mean:; 354.837148; 10.324435; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 0.000000; 0.000000; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 1.000000; 0.000000; Global Max Mean:; 1.000000; 0.000000; Hash Fail Count Mean:; 0.000000; 0.000000;
CUDA; 1; 25; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 0.000000; 0.000000; GPU Time 2 Mean:; 0.000000; 0.000000; GPU Time 3 Mean:; 0.000000; 0.000000; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 0.000000; 0.000000; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 1.000000; 0.000000; Global Max Mean:; 1.000000; 0.000000; Hash Fail Count Mean:; 0.000000; 0.000000;
