non CUDA transp non hash; 12; 300; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 7062.850394; 176.294895; GPU Time 2 Mean:; 7049.651120; 177.160923; GPU Time 3 Mean:; 522.134962; 10.711074; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 239.828954; 1.413977; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.281191; 0.000042; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.718585; 0.000064; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp non hash; 13; 325; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 7651.555248; 195.387210; GPU Time 2 Mean:; 7637.262588; 196.420085; GPU Time 3 Mean:; 565.627546; 12.725997; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 259.857544; 1.524924; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.281145; 0.000041; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.719681; 0.000061; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp non hash; 14; 350; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 8240.356840; 245.116070; GPU Time 2 Mean:; 8224.968190; 246.262641; GPU Time 3 Mean:; 609.105220; 14.873155; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 279.832404; 1.759687; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.281115; 0.000041; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.719681; 0.000061; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp non hash; 15; 375; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 8828.465464; 272.717339; GPU Time 2 Mean:; 8811.979662; 274.102157; GPU Time 3 Mean:; 652.599826; 17.202543; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 299.801130; 1.822708; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.280662; 0.000047; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.719681; 0.000061; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp non hash; 16; 400; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 9416.883420; 286.128662; GPU Time 2 Mean:; 9399.304750; 287.574154; GPU Time 3 Mean:; 696.073640; 19.360992; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 319.751920; 2.003899; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.280291; 0.000051; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.720349; 0.000055; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp non hash; 17; 425; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 10005.117936; 317.241464; GPU Time 2 Mean:; 9986.447978; 318.611863; GPU Time 3 Mean:; 739.528348; 22.211000; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 339.758604; 1.891921; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.280291; 0.000051; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.720501; 0.000056; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp non hash; 18; 450; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 10593.941298; 319.153097; GPU Time 2 Mean:; 10574.180204; 319.829215; GPU Time 3 Mean:; 782.994876; 25.034403; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 359.757358; 1.890481; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.280204; 0.000051; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.720791; 0.000055; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp non hash; 19; 475; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 11182.265838; 336.447454; GPU Time 2 Mean:; 11161.409998; 337.127359; GPU Time 3 Mean:; 826.466748; 27.946781; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 379.713902; 1.934339; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.280176; 0.000050; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.721212; 0.000052; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp non hash; 20; 500; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 11770.498470; 368.686522; GPU Time 2 Mean:; 11748.549782; 369.428486; GPU Time 3 Mean:; 869.928302; 31.052450; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 399.666176; 2.024856; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.279765; 0.000055; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.721618; 0.000052; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp_AVX Time; 1; 25; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 639.603078; 8.064800; GPU Time 2 Mean:; 638.621978; 8.068257; GPU Time 3 Mean:; 46.025522; 0.117297; GPU Time 4 Mean:; 63.050182; 1.213185; GPU Time 5 Mean:; 21.194486; 0.021214; GPU Time 6 Mean:; 19.186716; 0.305949; GPU Time 7 Mean:; 21.493900; 0.265932; GPU Time 8 Mean:; 528.743916; 8.534168; Global Min Mean:; 0.295293; 0.000078; Global Max Mean:; 0.706767; 0.000022; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp_AVX Time; 2; 50; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1279.381442; 13.184580; GPU Time 2 Mean:; 1277.458186; 13.226840; GPU Time 3 Mean:; 92.059176; 0.356936; GPU Time 4 Mean:; 126.203748; 2.923605; GPU Time 5 Mean:; 42.397440; 0.031909; GPU Time 6 Mean:; 38.372826; 0.940174; GPU Time 7 Mean:; 43.082850; 0.523812; GPU Time 8 Mean:; 1057.589178; 13.010420; Global Min Mean:; 0.290142; 0.000059; Global Max Mean:; 0.709538; 0.000047; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp_AVX Time; 3; 75; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1918.864380; 19.451618; GPU Time 2 Mean:; 1915.998104; 19.431242; GPU Time 3 Mean:; 138.095540; 0.718638; GPU Time 4 Mean:; 189.104552; 8.026928; GPU Time 5 Mean:; 63.582152; 0.068961; GPU Time 6 Mean:; 57.488290; 2.427828; GPU Time 7 Mean:; 64.507694; 1.350415; GPU Time 8 Mean:; 1586.393454; 20.314970; Global Min Mean:; 0.287049; 0.000042; Global Max Mean:; 0.711410; 0.000071; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp_AVX Time; 4; 100; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 2558.515512; 24.010326; GPU Time 2 Mean:; 2554.708556; 23.984445; GPU Time 3 Mean:; 184.130868; 1.281969; GPU Time 4 Mean:; 252.389112; 16.755020; GPU Time 5 Mean:; 84.783104; 0.159818; GPU Time 6 Mean:; 76.806110; 4.572987; GPU Time 7 Mean:; 86.092012; 2.816719; GPU Time 8 Mean:; 2114.985350; 29.975163; Global Min Mean:; 0.285592; 0.000031; Global Max Mean:; 0.712317; 0.000075; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp_AVX Time; 5; 125; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 3198.225592; 34.153145; GPU Time 2 Mean:; 3193.468486; 34.106330; GPU Time 3 Mean:; 230.182650; 2.100879; GPU Time 4 Mean:; 315.189304; 29.018310; GPU Time 5 Mean:; 105.988928; 0.227717; GPU Time 6 Mean:; 95.829108; 7.329184; GPU Time 7 Mean:; 107.488096; 5.421407; GPU Time 8 Mean:; 2644.090656; 46.406523; Global Min Mean:; 0.284710; 0.000042; Global Max Mean:; 0.713446; 0.000080; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp_AVX Time; 6; 150; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 3838.016418; 46.941299; GPU Time 2 Mean:; 3832.305958; 46.922709; GPU Time 3 Mean:; 276.253504; 2.979996; GPU Time 4 Mean:; 378.457066; 46.336126; GPU Time 5 Mean:; 127.214660; 0.353649; GPU Time 6 Mean:; 115.076920; 11.684568; GPU Time 7 Mean:; 129.102752; 8.628222; GPU Time 8 Mean:; 3172.786670; 67.159075; Global Min Mean:; 0.284280; 0.000035; Global Max Mean:; 0.714382; 0.000083; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp_AVX Time; 7; 175; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 4477.631788; 55.454355; GPU Time 2 Mean:; 4470.973446; 55.450975; GPU Time 3 Mean:; 322.309632; 4.148910; GPU Time 4 Mean:; 441.553476; 70.161725; GPU Time 5 Mean:; 148.378216; 0.537255; GPU Time 6 Mean:; 134.298708; 17.354411; GPU Time 7 Mean:; 150.633802; 13.043278; GPU Time 8 Mean:; 3701.500756; 83.146273; Global Min Mean:; 0.283776; 0.000032; Global Max Mean:; 0.715618; 0.000082; Hash Fail Count Mean:; 0.000000; 0.000000;
